Data Index	Xground	Yground	Zground	Xoff	Yoff	Zoff	Xon	Yon	Zon
0	5.84E-08	1.37E-08	8.44E-09	2.81E-09	3.49E-09	-2.95E-09	3.66E-09	2.50E-09	1.40E-08
0.073243359	2.95E-10	1.73E-10	2.08E-13	1.25E-13	1.33E-13	1.33E-13	3.51E-13	2.50E-13	3.05E-11
0.146486719	1.46E-11	4.21E-11	3.71E-14	4.90E-14	5.23E-14	2.99E-14	7.53E-14	1.47E-13	1.45E-12
0.219730078	9.64E-13	2.64E-12	1.51E-14	1.53E-14	8.26E-15	1.31E-14	1.49E-14	4.66E-14	1.38E-13
0.292973438	1.52E-13	3.65E-12	1.28E-14	1.47E-14	8.66E-15	8.51E-15	1.98E-14	2.77E-14	2.71E-14
0.366216797	4.69E-14	2.34E-12	5.31E-15	6.43E-15	4.34E-15	9.51E-15	1.55E-14	2.15E-14	1.08E-14
0.439460156	1.12E-14	3.73E-12	7.85E-15	3.99E-15	3.67E-15	9.38E-15	8.22E-15	9.19E-15	1.08E-14
0.512703516	1.24E-14	1.22E-12	7.99E-15	2.92E-15	5.68E-15	8.61E-15	4.06E-15	5.84E-15	5.93E-15
0.585946875	3.12E-15	3.19E-13	4.42E-15	3.25E-15	6.65E-15	4.73E-15	4.10E-15	5.21E-15	4.88E-15
0.659190235	2.78E-15	1.56E-13	4.87E-15	4.90E-15	4.86E-15	4.02E-15	3.71E-15	4.43E-15	6.64E-15
0.732433594	3.26E-15	9.13E-14	3.39E-15	6.43E-15	3.78E-15	4.07E-15	4.38E-15	4.52E-15	4.37E-15
0.805676953	2.76E-15	9.51E-14	2.15E-15	5.57E-15	1.93E-15	2.63E-15	4.36E-15	6.48E-15	2.80E-15
0.878920313	3.59E-15	1.48E-13	1.52E-15	4.92E-15	2.12E-15	1.59E-15	6.52E-15	5.43E-15	4.34E-15
0.952163672	3.04E-15	9.68E-14	1.62E-15	2.79E-15	2.47E-15	1.82E-15	5.12E-15	2.67E-15	5.58E-15
1.025407032	1.82E-15	6.64E-14	2.80E-15	1.62E-15	2.81E-15	1.72E-15	4.62E-15	2.23E-15	4.20E-15
1.098650391	1.41E-15	5.92E-14	2.46E-15	2.27E-15	2.12E-15	1.86E-15	4.16E-15	4.06E-15	1.80E-15
1.17189375	1.75E-15	7.56E-14	1.94E-15	2.52E-15	1.90E-15	1.64E-15	4.64E-15	1.37E-15	2.12E-15
1.24513711	1.36E-15	1.16E-13	1.17E-15	2.94E-15	1.62E-15	2.11E-15	5.83E-15	2.09E-15	3.60E-15
1.318380469	1.61E-15	2.06E-14	1.42E-15	3.03E-15	1.22E-15	1.44E-15	4.41E-15	3.83E-15	3.21E-15
1.391623828	2.46E-15	1.96E-14	1.66E-15	2.11E-15	1.70E-15	1.46E-15	3.49E-15	2.93E-15	3.97E-15
1.464867188	2.28E-15	8.03E-15	2.25E-15	1.57E-15	2.52E-15	2.45E-15	2.38E-15	1.95E-15	3.73E-15
1.538110547	1.74E-15	1.30E-14	1.82E-15	2.01E-15	1.72E-15	1.97E-15	4.68E-15	1.94E-15	5.20E-15
1.611353907	2.19E-15	7.89E-15	1.23E-15	1.96E-15	2.04E-15	1.03E-15	1.87E-14	4.05E-15	3.81E-15
1.684597266	1.74E-15	1.85E-14	1.69E-15	2.31E-15	2.48E-15	2.44E-15	2.29E-14	3.24E-15	4.79E-15
1.757840625	2.25E-15	1.18E-14	1.74E-15	3.18E-15	2.04E-15	2.05E-15	1.29E-14	7.13E-15	4.31E-15
1.831083985	2.66E-15	1.08E-14	1.62E-15	1.81E-15	1.37E-15	1.24E-15	3.55E-15	6.00E-15	2.52E-15
1.904327344	2.44E-15	9.40E-15	1.61E-15	3.73E-15	2.68E-15	1.31E-15	6.34E-15	3.96E-15	1.66E-15
1.977570704	4.02E-15	3.40E-15	1.06E-15	5.92E-15	2.88E-15	2.40E-15	5.33E-15	2.62E-15	2.50E-15
2.050814063	3.60E-15	4.11E-15	1.58E-15	1.01E-14	2.26E-15	2.34E-15	4.51E-15	2.72E-15	3.00E-15
2.124057422	1.95E-15	4.75E-15	8.68E-16	6.81E-15	1.71E-15	2.54E-15	2.83E-15	2.24E-15	3.93E-15
2.197300782	1.94E-15	1.34E-15	8.10E-16	3.06E-15	1.85E-15	2.34E-15	3.76E-15	1.73E-15	2.49E-15
2.270544141	2.05E-15	2.77E-15	1.28E-15	2.28E-15	3.01E-15	2.61E-15	4.83E-15	3.13E-15	2.42E-15
2.343787501	1.54E-15	3.78E-15	2.79E-15	4.28E-15	4.32E-15	3.36E-15	4.25E-15	3.24E-15	3.70E-15
2.41703086	2.36E-15	3.12E-15	3.02E-15	6.53E-15	5.55E-15	2.67E-15	5.63E-15	4.65E-15	3.46E-15
2.490274219	6.73E-15	3.14E-15	1.51E-15	7.36E-15	1.02E-14	2.78E-15	4.03E-15	9.00E-15	2.33E-15
2.563517579	5.51E-15	1.40E-15	2.34E-15	6.51E-15	1.94E-14	1.87E-15	6.48E-15	9.03E-15	1.41E-15
2.636760938	2.43E-14	3.97E-15	5.51E-15	1.39E-14	5.57E-14	2.51E-15	1.75E-14	1.23E-14	3.07E-15
2.710004298	3.15E-14	7.35E-15	5.69E-15	2.24E-14	8.02E-14	3.55E-15	1.93E-14	2.24E-14	6.71E-15
2.783247657	1.61E-14	6.80E-15	2.65E-15	1.10E-14	3.83E-14	4.18E-15	7.91E-15	2.30E-14	2.68E-15
2.856491016	7.39E-15	9.36E-15	1.85E-15	7.54E-15	1.14E-14	3.53E-15	4.68E-15	6.71E-15	2.97E-15
2.929734376	2.92E-15	8.01E-15	2.18E-15	8.42E-15	1.10E-14	2.51E-15	4.23E-15	4.08E-15	2.90E-15
3.002977735	6.29E-15	1.17E-14	2.55E-15	7.09E-15	9.27E-15	2.63E-15	5.02E-15	2.61E-15	3.37E-15
3.076221095	9.56E-15	2.93E-14	1.98E-15	1.16E-14	1.12E-14	2.33E-15	4.08E-15	1.78E-15	3.20E-15
3.149464454	1.16E-14	2.07E-14	3.44E-15	1.70E-14	2.85E-14	3.08E-15	1.71E-15	3.22E-15	3.03E-15
3.222707813	1.19E-14	1.08E-14	3.17E-15	3.60E-14	3.80E-14	3.48E-15	4.52E-15	6.39E-15	3.39E-15
3.295951173	8.60E-15	8.47E-15	1.84E-15	2.69E-14	8.12E-14	4.17E-15	5.23E-15	4.69E-15	1.56E-15
3.369194532	1.24E-14	1.70E-14	1.49E-15	1.72E-14	1.16E-13	3.06E-15	2.89E-15	2.39E-15	2.97E-15
3.442437892	1.17E-14	1.63E-14	2.52E-15	2.01E-14	1.62E-13	1.89E-15	2.98E-15	5.25E-15	4.00E-15
3.515681251	8.09E-15	1.29E-14	2.61E-15	1.67E-14	1.87E-13	1.42E-15	3.91E-15	3.06E-15	3.30E-15
3.58892461	1.37E-14	5.90E-15	2.14E-15	2.44E-14	8.21E-14	2.86E-15	4.75E-15	2.04E-15	2.43E-15
3.66216797	1.42E-14	4.99E-15	2.46E-15	2.84E-14	5.34E-14	2.31E-15	3.74E-15	2.20E-15	2.41E-15
3.735411329	1.20E-14	7.61E-15	1.90E-15	2.66E-14	6.77E-14	1.34E-15	1.55E-15	2.37E-15	3.65E-15
3.808654688	1.62E-14	1.48E-14	2.33E-15	5.40E-14	9.06E-14	1.84E-15	1.61E-15	3.11E-15	2.91E-15
3.881898048	8.63E-15	1.14E-14	2.87E-15	6.90E-14	1.26E-13	2.75E-15	2.12E-15	3.46E-15	2.29E-15
3.955141407	6.00E-15	6.50E-15	2.21E-15	1.57E-13	1.24E-13	5.19E-15	4.14E-15	3.19E-15	2.19E-15
4.028384767	5.45E-15	4.83E-15	5.94E-16	1.91E-13	1.47E-13	1.10E-14	4.44E-15	3.46E-15	2.44E-15
4.101628126	7.03E-15	6.07E-15	6.44E-16	2.20E-13	9.35E-14	5.32E-15	2.00E-15	2.68E-15	2.99E-15
4.174871485	1.11E-14	7.56E-15	2.08E-15	3.00E-13	3.12E-14	2.91E-15	2.43E-15	2.15E-15	4.26E-15
4.248114845	1.30E-14	6.62E-15	2.33E-15	4.63E-13	4.00E-14	3.83E-15	2.78E-15	1.48E-15	2.96E-15
4.321358204	6.83E-15	6.17E-15	8.91E-16	6.25E-13	6.61E-14	9.22E-15	1.90E-15	1.40E-15	2.53E-15
4.394601564	7.00E-15	5.14E-15	1.64E-15	1.52E-12	9.72E-14	1.41E-14	1.83E-15	1.54E-15	2.31E-15
4.467844923	5.12E-15	1.46E-15	1.87E-15	1.24E-12	9.88E-14	2.80E-14	2.88E-15	1.53E-15	2.11E-15
4.541088282	3.51E-15	3.19E-15	2.81E-15	1.66E-12	2.23E-13	1.23E-13	4.10E-15	7.81E-16	1.79E-15
4.614331642	4.48E-15	2.13E-15	1.81E-15	4.75E-12	5.44E-13	1.47E-13	5.95E-15	1.57E-15	2.00E-15
4.687575001	5.76E-15	3.84E-15	2.42E-15	5.63E-12	7.66E-13	8.28E-14	5.43E-15	1.49E-15	3.18E-15
4.760818361	6.07E-15	2.85E-15	1.64E-15	6.94E-12	1.18E-12	6.49E-14	3.75E-15	2.51E-15	3.13E-15
4.83406172	5.76E-15	3.16E-15	2.50E-15	3.33E-12	2.69E-12	4.80E-14	1.85E-15	2.58E-15	2.33E-15
4.907305079	7.33E-15	2.54E-15	2.01E-15	1.10E-12	2.41E-12	5.18E-14	1.36E-15	2.37E-15	3.47E-15
4.980548439	5.45E-15	1.20E-15	2.64E-15	9.98E-13	9.71E-13	6.24E-14	2.40E-15	1.32E-15	3.36E-15
5.053791798	4.84E-15	3.13E-15	2.68E-15	3.73E-13	3.99E-13	5.90E-14	1.81E-15	1.57E-15	1.85E-15
5.127035158	1.18E-14	5.00E-15	1.22E-15	2.71E-13	2.09E-13	7.68E-14	2.34E-15	2.09E-15	1.86E-15
5.200278517	9.07E-15	2.65E-15	1.05E-15	2.03E-13	1.80E-13	2.75E-14	2.61E-15	1.44E-15	1.94E-15
5.273521876	1.08E-14	3.37E-15	1.74E-15	2.26E-13	1.42E-13	1.95E-14	2.97E-15	2.03E-15	1.87E-15
5.346765236	1.17E-14	5.91E-15	2.83E-15	1.73E-13	1.37E-13	2.80E-14	3.04E-15	1.68E-15	1.67E-15
5.420008595	7.09E-15	8.49E-15	2.07E-15	7.34E-14	1.15E-13	2.51E-14	2.80E-15	2.36E-15	2.10E-15
5.493251955	9.25E-15	1.63E-14	3.31E-15	7.25E-14	1.05E-13	1.69E-14	1.92E-15	2.10E-15	1.47E-15
5.566495314	1.71E-14	2.01E-14	2.27E-15	9.00E-14	3.21E-14	1.04E-14	1.73E-15	1.58E-15	1.60E-15
5.639738673	2.71E-14	2.43E-14	3.29E-15	3.60E-14	6.34E-14	8.02E-15	1.15E-15	2.58E-15	1.99E-15
5.712982033	1.88E-14	1.92E-14	2.96E-15	6.44E-14	7.07E-14	1.31E-14	1.11E-15	2.27E-15	1.13E-15
5.786225392	2.37E-14	1.76E-14	4.65E-15	5.83E-14	6.56E-14	2.49E-14	2.15E-15	1.42E-15	1.54E-15
5.859468752	2.06E-14	2.49E-14	7.83E-15	5.55E-14	1.21E-13	2.30E-14	3.41E-15	1.82E-15	9.66E-16
